"id";"sido";"gugun";"gubun";"Type";"year_code"
1255;"서울특별시";"영등포구";2;"신호";10
1256;"서울특별시";"영등포구";2;"신호";10
1257;"서울특별시";"양천구";2;"신호";10
1258;"서울특별시";"동작구";2;"신호";10
1259;"서울특별시";"동작구";2;"신호";10
1260;"서울특별시";"동작구";2;"신호";10
1261;"서울특별시";"동작구";2;"신호";10
1262;"서울특별시";"관악구";2;"신호";10
1263;"서울특별시";"동작구";2;"신호";10
1264;"서울특별시";"관악구";2;"신호";10
1265;"서울특별시";"관악구";2;"신호";10
1266;"서울특별시";"관악구";2;"신호";10
1267;"서울특별시";"관악구";2;"신호";10
1268;"서울특별시";"마포구";2;"신호";10
1269;"서울특별시";"마포구";2;"신호";10
1270;"서울특별시";"마포구";2;"신호";10
1271;"서울특별시";"마포구";2;"신호";10
1272;"서울특별시";"마포구";2;"신호";10
1273;"서울특별시";"마포구";2;"신호";10
1274;"서울특별시";"마포구";2;"신호";10
1275;"서울특별시";"마포구";2;"신호";10
1276;"서울특별시";"서대문구";2;"신호";10
1277;"서울특별시";"서대문구";2;"신호";10
1278;"서울특별시";"서대문구";2;"신호";10
1279;"서울특별시";"서대문구";2;"신호";10
1280;"서울특별시";"서대문구";2;"신호";10
1281;"서울특별시";"영등포구";2;"신호";10
1282;"서울특별시";"은평구";2;"신호";10
1283;"서울특별시";"동작구";2;"신호";10
1284;"서울특별시";"종로구";2;"신호";10
1285;"서울특별시";"중구";2;"신호";10
1286;"서울특별시";"동대문구";2;"신호";10
1287;"서울특별시";"성북구";2;"신호";10
1288;"서울특별시";"강북구";2;"신호";10
1289;"서울특별시";"광진구";2;"신호";10
1290;"서울특별시";"종로구";2;"신호";10
1291;"서울특별시";"관악구";2;"신호";10
1292;"서울특별시";"중구";2;"신호";10
1293;"서울특별시";"마포구";2;"신호";10
1294;"서울특별시";"영등포구";2;"신호";10
1295;"서울특별시";"구로구";2;"신호";10
1296;"서울특별시";"구로구";2;"신호";10
1297;"서울특별시";"서초구";2;"신호";10
1298;"서울특별시";"서대문구";2;"신호";10
1299;"서울특별시";"양천구";2;"신호";10
1300;"서울특별시";"강서구";2;"신호";10
1301;"서울특별시";"강서구";2;"신호";10
1302;"서울특별시";"강서구";2;"신호";10
1303;"서울특별시";"양천구";2;"신호";10
1304;"서울특별시";"양천구";2;"신호";10
1305;"서울특별시";"양천구";2;"신호";10
1306;"서울특별시";"양천구";2;"신호";10
1307;"서울특별시";"양천구";2;"신호";10
1308;"서울특별시";"구로구";2;"신호";10
1309;"서울특별시";"구로구";2;"신호";10
1310;"서울특별시";"구로구";2;"신호";10
1311;"서울특별시";"강남구";2;"신호";9
1312;"서울특별시";"강남구";1;"과속";9
1313;"서울특별시";"동대문구";1;"과속";9
1314;"서울특별시";"송파구";1;"과속";9
1315;"서울특별시";"강남구";1;"과속";9
1316;"서울특별시";"서초구";1;"과속";9
1317;"서울특별시";"송파구";1;"과속";9
1318;"서울특별시";"종로구";1;"과속";9
1319;"서울특별시";"동작구";1;"과속";9
1320;"서울특별시";"동작구";1;"과속";9
1321;"서울특별시";"서초구";1;"과속";9
1322;"서울특별시";"중랑구";1;"과속";9
1323;"서울특별시";"성북구";1;"과속";9
1324;"서울특별시";"구로구";1;"과속";9
1325;"서울특별시";"강남구";1;"과속";9
1326;"서울특별시";"동작구";1;"과속";9
1327;"서울특별시";"성북구";1;"과속";9
1328;"서울특별시";"은평구";1;"과속";9
1329;"서울특별시";"중구";1;"과속";9
1330;"서울특별시";"강남구";2;"신호";10
1331;"서울특별시";"강남구";2;"신호";10
1332;"서울특별시";"서초구";1;"과속";10
1333;"서울특별시";"마포구";1;"과속";10
1334;"서울특별시";"영등포구";1;"과속";10
1335;"서울특별시";"강남구";2;"신호";10
1336;"서울특별시";"강남구";2;"신호";10
1337;"서울특별시";"강남구";2;"신호";10
1338;"서울특별시";"동작구";2;"신호";10
1339;"서울특별시";"영등포구";2;"신호";9
1340;"서울특별시";"구로구";2;"신호";9
1341;"서울특별시";"성북구";2;"신호";9
1342;"서울특별시";"동대문구";2;"신호";9
1343;"서울특별시";"강동구";2;"신호";9
1344;"서울특별시";"강남구";2;"신호";9
1345;"서울특별시";"성북구";2;"신호";9
1346;"서울특별시";"노원구";2;"신호";9
1347;"서울특별시";"서대문구";1;"과속";9
1348;"서울특별시";"용산구";1;"과속";9
1349;"서울특별시";"영등포구";2;"신호";9
1350;"서울특별시";"영등포구";2;"신호";9
1351;"서울특별시";"영등포구";2;"신호";9
1352;"서울특별시";"강서구";2;"신호";9
1353;"서울특별시";"양천구";2;"신호";9
1354;"서울특별시";"금천구";2;"신호";9
1355;"서울특별시";"용산구";2;"신호";9
1356;"서울특별시";"용산구";2;"신호";9
1357;"서울특별시";"은평구";2;"신호";9
1358;"서울특별시";"강동구";2;"신호";9
1359;"서울특별시";"중구";2;"신호";9
1360;"서울특별시";"중구";2;"신호";9
1361;"서울특별시";"종로구";2;"신호";9
1362;"서울특별시";"양천구";2;"신호";9
1363;"서울특별시";"동작구";2;"신호";9
1364;"서울특별시";"강남구";2;"신호";9
1365;"서울특별시";"중랑구";2;"신호";9
1366;"서울특별시";"동작구";2;"신호";9
1367;"서울특별시";"강동구";2;"신호";9
1368;"서울특별시";"용산구";2;"신호";8
1369;"서울특별시";"도봉구";2;"신호";8
1370;"서울특별시";"양천구";2;"신호";8
1371;"서울특별시";"강동구";2;"신호";8
1372;"서울특별시";"종로구";2;"신호";8
1373;"서울특별시";"노원구";1;"과속";8
1374;"서울특별시";"마포구";1;"과속";8
1375;"서울특별시";"영등포구";1;"과속";8
1376;"서울특별시";"마포구";1;"과속";8
1377;"서울특별시";"광진구";1;"과속";8
1378;"서울특별시";"영등포구";1;"과속";8
1379;"서울특별시";"강동구";1;"과속";8
1380;"서울특별시";"송파구";1;"과속";8
1381;"서울특별시";"종로구";1;"과속";8
1382;"서울특별시";"중랑구";1;"과속";8
1383;"서울특별시";"종로구";1;"과속";8
1384;"서울특별시";"용산구";1;"과속";8
1385;"서울특별시";"강남구";1;"과속";8
1386;"서울특별시";"양천구";1;"과속";8
1387;"서울특별시";"도봉구";1;"과속";8
1388;"서울특별시";"도봉구";1;"과속";8
1389;"서울특별시";"마포구";1;"과속";8
1390;"서울특별시";"마포구";1;"과속";8
1391;"서울특별시";"구로구";1;"과속";8
1392;"서울특별시";"강남구";1;"과속";8
1393;"서울특별시";"금천구";1;"과속";8
1394;"서울특별시";"강남구";1;"과속";8
1395;"서울특별시";"서초구";1;"과속";8
1396;"서울특별시";"강남구";2;"신호";19
1397;"서울특별시";"동작구";2;"신호";19
1398;"서울특별시";"동대문구";2;"신호";19
1399;"서울특별시";"관악구";2;"신호";19
1400;"서울특별시";"양천구";2;"신호";19
1401;"서울특별시";"관악구";2;"신호";19
1402;"서울특별시";"노원구";2;"신호";19
1403;"서울특별시";"성북구";2;"신호";19
1404;"서울특별시";"강북구";2;"신호";19
1405;"서울특별시";"도봉구";2;"신호";19
1406;"서울특별시";"광진구";2;"신호";19
1407;"서울특별시";"서초구";2;"신호";19
1408;"서울특별시";"동작구";2;"신호";19
1409;"서울특별시";"양천구";2;"신호";19
1410;"서울특별시";"마포구";2;"신호";19
1411;"서울특별시";"마포구";1;"과속";19
1412;"서울특별시";"강서구";2;"신호";19
1413;"서울특별시";"강서구";2;"신호";19
1414;"서울특별시";"강서구";1;"과속";19
1415;"서울특별시";"송파구";2;"신호";19
1416;"서울특별시";"강동구";2;"신호";19
1417;"서울특별시";"은평구";2;"신호";19
1418;"서울특별시";"은평구";2;"신호";19
1419;"서울특별시";"은평구";2;"신호";19
1420;"서울특별시";"은평구";2;"신호";19
1421;"서울특별시";"동작구";2;"신호";19
1422;"서울특별시";"송파구";2;"신호";19
1423;"서울특별시";"송파구";2;"신호";19
1424;"서울특별시";"송파구";2;"신호";19
1425;"서울특별시";"광진구";2;"신호";18
1426;"서울특별시";"은평구";2;"신호";18
1427;"서울특별시";"성동구";2;"신호";18
1428;"서울특별시";"중구";2;"신호";18
1429;"서울특별시";"중구";2;"신호";18
1430;"서울특별시";"관악구";2;"신호";20
1431;"서울특별시";"관악구";2;"신호";20
1432;"서울특별시";"관악구";2;"신호";20
1433;"서울특별시";"성동구";2;"신호";18
1434;"서울특별시";"마포구";2;"신호";19
1435;"서울특별시";"송파구";2;"신호";19
1436;"서울특별시";"송파구";2;"신호";19
1437;"서울특별시";"강동구";1;"과속";19
1438;"서울특별시";"용산구";1;"과속";19
1439;"서울특별시";"동대문구";1;"과속";19
1440;"서울특별시";"강서구";1;"과속";19
1441;"서울특별시";"양천구";1;"과속";19
1442;"서울특별시";"마포구";2;"신호";19
1443;"서울특별시";"강남구";2;"신호";19
