"id";"sido";"gugun";"year_code"
291;"서울특별시";"노원구";17
292;"서울특별시";"동대문구";17
293;"서울특별시";"광진구";18
294;"서울특별시";"광진구";17
295;"서울특별시";"광진구";17
296;"서울특별시";"강남구";17
297;"서울특별시";"성북구";17
298;"서울특별시";"강북구";10
299;"서울특별시";"서대문구";16
300;"서울특별시";"서대문구";17
301;"서울특별시";"양천구";17
302;"서울특별시";"영등포구";16
303;"서울특별시";"용산구";17
304;"서울특별시";"용산구";17
305;"서울특별시";"강서구";18
306;"서울특별시";"광진구";18
307;"서울특별시";"영등포구";15
308;"서울특별시";"영등포구";17
309;"서울특별시";"광진구";3
310;"서울특별시";"강동구";18
311;"서울특별시";"강동구";17
312;"서울특별시";"강남구";15
313;"서울특별시";"중구";9
314;"서울특별시";"중구";9
315;"서울특별시";"중구";9
316;"서울특별시";"중구";9
317;"서울특별시";"용산구";9
318;"서울특별시";"중구";9
319;"서울특별시";"강남구";14
320;"서울특별시";"송파구";16
321;"서울특별시";"종로구";12
322;"서울특별시";"종로구";12
323;"서울특별시";"종로구";12
324;"서울특별시";"서대문구";12
325;"서울특별시";"서대문구";12
326;"서울특별시";"마포구";12
327;"서울특별시";"마포구";12
328;"서울특별시";"영등포구";12
329;"서울특별시";"마포구";12
330;"서울특별시";"마포구";12
331;"서울특별시";"마포구";12
332;"서울특별시";"용산구";12
333;"서울특별시";"용산구";12
334;"서울특별시";"용산구";12
335;"서울특별시";"용산구";12
336;"서울특별시";"중구";12
337;"서울특별시";"중구";12
338;"서울특별시";"성동구";12
339;"서울특별시";"중구";12
340;"서울특별시";"동대문구";12
341;"서울특별시";"동대문구";12
342;"서울특별시";"마포구";12
343;"서울특별시";"성북구";12
344;"서울특별시";"성북구";12
345;"서울특별시";"종로구";12
346;"서울특별시";"중구";12
347;"서울특별시";"양천구";15
348;"서울특별시";"양천구";15
349;"서울특별시";"양천구";15
350;"서울특별시";"양천구";15
351;"서울특별시";"양천구";15
352;"서울특별시";"양천구";15
353;"서울특별시";"양천구";15
354;"서울특별시";"강남구";15
355;"서울특별시";"강남구";15
356;"서울특별시";"송파구";15
357;"서울특별시";"광진구";15
358;"서울특별시";"송파구";15
359;"서울특별시";"강남구";15
360;"서울특별시";"송파구";15
361;"서울특별시";"강동구";15
362;"서울특별시";"송파구";15
363;"서울특별시";"송파구";15
364;"서울특별시";"송파구";15
365;"서울특별시";"송파구";15
366;"서울특별시";"송파구";15
367;"서울특별시";"송파구";15
368;"서울특별시";"송파구";15
369;"서울특별시";"송파구";15
370;"서울특별시";"송파구";15
371;"서울특별시";"금천구";9
372;"서울특별시";"서초구";18
373;"서울특별시";"서초구";10
374;"서울특별시";"서초구";5
375;"서울특별시";"서초구";14
376;"서울특별시";"서초구";14
377;"서울특별시";"서초구";17
378;"서울특별시";"서초구";5
379;"서울특별시";"서초구";6
380;"서울특별시";"서초구";5
381;"서울특별시";"강동구";9
382;"서울특별시";"강동구";18
383;"서울특별시";"강동구";9
384;"서울특별시";"송파구";9
385;"서울특별시";"송파구";9
386;"서울특별시";"강남구";14
387;"서울특별시";"서초구";18
388;"서울특별시";"중랑구";17
389;"서울특별시";"강동구";9
390;"서울특별시";"강남구";9
391;"서울특별시";"노원구";15
392;"서울특별시";"노원구";15
393;"서울특별시";"강서구";18
394;"서울특별시";"강서구";18
