id,gugun,data_date,sido,year_code
285,강서구,2021-03-19,서울특별시,20
286,강서구,2021-03-19,서울특별시,20
287,강서구,2021-03-19,서울특별시,20
288,강서구,2021-03-19,서울특별시,20
289,강서구,2021-03-19,서울특별시,20
290,강서구,2021-03-19,서울특별시,20
291,강서구,2021-03-19,서울특별시,20
292,강서구,2021-03-19,서울특별시,20
293,강서구,2021-03-19,서울특별시,20
294,강서구,2021-03-19,서울특별시,20
295,강서구,2021-03-19,서울특별시,20
296,중구,2021-10-21,서울특별시,14
