id,가변전광표지판명,sido,gugun,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,year_code
326,1006,서울특별시,마포구,11440,3,성산로,,,37.562418,126.90187,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
327,1007,서울특별시,마포구,11440,3,양화로,,,37.548372,126.91114499999999,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
328,1008,서울특별시,영등포구,11560,3,국회대로,,,37.525609,126.90655,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
329,1009,서울특별시,마포구,11440,3,신촌로,,,37.55665,126.94415900000001,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,12
330,1010,서울특별시,마포구,11440,3,마포대로,,,37.5408,126.94763400000001,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
331,1011,서울특별시,마포구,11440,3,마포대로,,,37.55383,126.956921,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
332,1012,서울특별시,용산구,11170,3,만리재로,,,37.552625,126.963794,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,12
333,1013,서울특별시,용산구,11170,3,청파로,,,37.55171,126.969527,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
334,1014,서울특별시,용산구,11170,3,한강대로,,,37.531131,126.969801,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,12
335,1015,서울특별시,용산구,11170,3,한강대로,,,37.550501000000004,126.97208799999999,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,12
