가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,설치연도
VMA9000250,서울특별시,용산구,11170,3,녹사평대로,,,37.53112,126.9696,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMA9000290,서울특별시,용산구,11170,3,한남대로,,,37.53705,127.00473,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMA9000340,서울특별시,강서구,11500,3,화곡로,,,37.55737,126.85327,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VMA9000380,서울특별시,광진구,11215,3,자양로,,,37.54316,127.08442,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VML5000040,서울특별시,영등포구,11560,3,올림픽대로,,,37.54891,126.88652,9000,1800,,,,2,2,1,적색+녹색+황색+흰색,2,3단 15열,2015
VMN1000020,서울특별시,영등포구,11560,3,노들로,,,37.51605,126.92233,6000,1800,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,3단 10열,2017
VMA9000440,서울특별시,광진구,11215,3,구의로,,,37.54179,127.06534,3200,320,,,,3,2,1,적색+녹색+황색+흰색,2,1단 10열,2003
VMA9000450,서울특별시,강동구,11740,3,천호대로,,,37.53666,127.13036,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2018
VMA9000460,서울특별시,강동구,11740,3,강동대로,,,37.52336,127.13003,6000,1200,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,2,2단 10열,2017
VML5000100,서울특별시,강남구,11680,3,올림픽대로,,,37.52996,127.04487,7680,2880,,,,2,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 32열,2015
VMT5000010,서울특별시,중구,11140,3,녹사평대로,,,37.56311,126.98841,3360,2400,,,,3,2,1,적색+녹색+황색+흰색,2,10단 14열,2009
VMT5000020,서울특별시,중구,11140,3,퇴계로,,,37.56067,126.98511,6000,1200,,,,3,2,1,적색+녹색+황색+흰색,2,2단 10열,2009
VMT5000030,서울특별시,중구,11140,3,삼일대로,,,37.56115,126.99151,6000,1200,,,,3,2,1,적색+녹색+황색+흰색,2,2단 10열,2009
