id,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명,sido,gugun,address
1815,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1816,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1817,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1818,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1819,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1820,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1821,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1822,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1823,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1824,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1825,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1826,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1827,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1828,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1829,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1830,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,성수동2가527-0
1831,노상 주차장,버스전용 주차장,무료,야간 미개방,서울특별시,중구,신당동204-92
1832,노상 주차장,버스전용 주차장,무료,야간 미개방,서울특별시,중구,신당동204-92
1833,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1834,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1835,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1836,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1837,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1838,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1839,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1840,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동450-65
1841,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1842,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1843,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
